Level,Date and Time,Source,Event ID,Task Category
Information,29/10/2021 15.46.51,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: 16777220."
Information,29/10/2021 15.46.50,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 19 to 20.

Reason: 3"
Information,29/10/2021 15.46.50,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,29/10/2021 15.46.50,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 18 to 19.

Reason: 3"
Information,29/10/2021 15.45.19,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 15.28.15,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 15.11.11,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 15.07.00,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 15.06.59,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 14.53.51,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|[::]:123->[64:ff9b::3494:72bc]:123)."
Information,29/10/2021 14.53.51,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 14.33.27,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 14.33.26,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 14.01.22,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,29/10/2021 13.59.16,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,29/10/2021 13.31.10,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 13.31.09,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 13.03.01,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,29/10/2021 13.03.00,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,29/10/2021 13.02.58,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_16005.14326.20544.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.02.35,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NT52VQ39BVN-Microsoft.LanguageExperiencePacken-GB
Information,29/10/2021 13.02.34,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NT52VQ39BVN-Microsoft.LanguageExperiencePacken-GB
Information,29/10/2021 13.02.20,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9P4X3N4SDK8P-Microsoft.LanguageExperiencePackid-ID
Information,29/10/2021 13.02.19,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9P4X3N4SDK8P-Microsoft.LanguageExperiencePackid-ID
Information,29/10/2021 13.01.51,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 13.01.51,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 13.01.44,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NZKPSTSNW4P-Microsoft.XboxGamingOverlay
Error,29/10/2021 13.01.44,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MSMLRH6LZF3-Microsoft.WindowsNotepad.
Information,29/10/2021 13.01.43,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9MSMLRH6LZF3-Microsoft.WindowsNotepad
Information,29/10/2021 13.01.42,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 6 keys and creating 2 modified pages.
Information,29/10/2021 13.01.41,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NZKPSTSNW4P-Microsoft.XboxGamingOverlay
Information,29/10/2021 13.01.39,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 13.01.37,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxGamingOverlay_5.721.10202.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.01.33,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3PT-MICROSOFT.ZUNEMUSIC
Information,29/10/2021 13.01.31,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ3PT-MICROSOFT.ZUNEMUSIC
Information,29/10/2021 13.01.26,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneMusic_10.21102.10421.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.01.19,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Error,29/10/2021 13.01.09,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP.
Information,29/10/2021 13.01.09,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP
Information,29/10/2021 13.01.05,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.SkypeApp_15.77.97.0_x86__kzf8qxf38zg5c\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.01.01,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 13.00.54,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFHVN5-MICROSOFT.WINDOWSCALCULATOR
Information,29/10/2021 13.00.54,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.WindowsCalculator_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,29/10/2021 13.00.53,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVN5-MICROSOFT.WINDOWSCALCULATOR
Information,29/10/2021 13.00.53,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 13.00.51,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCalculator_11.2109.9.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.00.49,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,29/10/2021 13.00.47,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBBG-MICROSOFT.WINDOWSCAMERA
Information,29/10/2021 13.00.46,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJBBG-MICROSOFT.WINDOWSCAMERA
Information,29/10/2021 13.00.44,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCamera_2022.2110.0.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.00.16,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Error,29/10/2021 13.00.10,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9N0DX20HK701-Microsoft.WindowsTerminal.
Information,29/10/2021 13.00.10,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9N0DX20HK701-Microsoft.WindowsTerminal
Information,29/10/2021 13.00.10,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 13.00.08,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsTerminal_1.11.2921.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.00.06,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3PR-MICROSOFT.WINDOWSALARMS
Information,29/10/2021 13.00.05,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ3PR-MICROSOFT.WINDOWSALARMS
Information,29/10/2021 13.00.03,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAlarms_11.2109.1.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.59.36,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.59.29,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,29/10/2021 12.59.29,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.StorePurchaseApp_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,29/10/2021 12.59.29,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,29/10/2021 12.59.28,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.StorePurchaseApp_12109.1001.10.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.59.27,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.59.18,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NFTCH6J7FHV-Microsoft.PowerAutomateDesktop
Information,29/10/2021 12.59.18,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,29/10/2021 12.59.18,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NFTCH6J7FHV-Microsoft.PowerAutomateDesktop
Information,29/10/2021 12.59.09,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.59.02,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH42THS-Microsoft.Microsoft3DViewer
Information,29/10/2021 12.59.01,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH42THS-Microsoft.Microsoft3DViewer
Information,29/10/2021 12.59.01,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.59.00,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Microsoft3DViewer_1.0.35.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.58.54,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH5R558-Microsoft.Todos
Information,29/10/2021 12.58.54,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.Todos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,29/10/2021 12.58.54,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH5R558-Microsoft.Todos
Information,29/10/2021 12.58.52,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.58.52,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Todos_0.55.42923.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.58.45,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRDTBJJ-MICROSOFT.GETSTARTED
Information,29/10/2021 12.58.45,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRDTBJJ-MICROSOFT.GETSTARTED
Information,29/10/2021 12.58.43,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.58.35,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Getstarted_10.7.42522.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.58.21,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9PCFS5B6T72H-Microsoft.Paint
Information,29/10/2021 12.58.21,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.58.20,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\DTETI FT UGM\AppData\Local\Packages\Microsoft.Paint_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,29/10/2021 12.58.20,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9PCFS5B6T72H-Microsoft.Paint
Information,29/10/2021 12.58.19,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH4NNS1-Microsoft.DesktopAppInstaller
Information,29/10/2021 12.58.18,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Paint_11.2110.0.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.58.17,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH4NNS1-Microsoft.DesktopAppInstaller
Information,29/10/2021 12.58.14,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.DesktopAppInstaller_1.16.12663.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 12.58.11,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.58.05,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRDTBVB-MICROSOFT.WINDOWSMAPS
Information,29/10/2021 12.58.04,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRDTBVB-MICROSOFT.WINDOWSMAPS
Information,29/10/2021 12.58.02,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsMaps_1.0.28.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Error,29/10/2021 12.58.01,Service Control Manager,7034,None,The LenovoVantageService service terminated unexpectedly. It has done this 1 time(s).
Information,29/10/2021 12.57.41,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.57.41,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,29/10/2021 12.57.41,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Error,29/10/2021 12.57.41,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{95162730-380D-4EDF-AC66-A0DFC4886950} because another computer on the network has the same name.  The server could not start.
Information,29/10/2021 12.57.39,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 17 to 18.

Reason: 3"
Information,29/10/2021 12.57.39,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Power Button."
Information,29/10/2021 12.56.41,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 16 to 17.

Reason: 3"
Error,29/10/2021 12.56.42,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Error,29/10/2021 12.56.38,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{95162730-380D-4EDF-AC66-A0DFC4886950} because another computer on the network has the same name.  The server could not start.
Information,29/10/2021 12.56.38,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,29/10/2021 12.56.35,googledrivefs3525,1,None,Wake from sleep detected.
Information,29/10/2021 12.56.33,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
Information,29/10/2021 12.56.33,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 15 to 16.

Reason: 3"
Information,29/10/2021 12.56.33,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
Information,29/10/2021 12.56.33,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Connected, Reason: None"
Error,29/10/2021 12.56.32,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Warning,29/10/2021 12.56.32,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,29/10/2021 12.56.32,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,29/10/2021 12.56.32,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,29/10/2021 12.17.27,EventLog,6013,None,The system uptime is 59553 seconds.
Information,29/10/2021 11.22.32,googledrivefs3525,1,None,Wake from sleep detected.
Error,29/10/2021 11.19.28,Microsoft-Windows-DistributedCOM,10010,None,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,29/10/2021 11.18.38,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Error,29/10/2021 11.18.28,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Information,29/10/2021 11.17.32,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: 7"
Information,29/10/2021 11.17.27,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 14 to 15.

Reason: 3"
Information,29/10/2021 11.17.21,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
Information,29/10/2021 11.17.21,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 13 to 14.

Reason: 3"
Information,29/10/2021 11.17.21,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
Warning,29/10/2021 11.17.21,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,29/10/2021 11.17.21,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,29/10/2021 11.17.21,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,29/10/2021 11.17.14,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 12 to 13.

Reason: 3"
Information,29/10/2021 11.17.13,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,29/10/2021 11.17.13,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 11 to 12.

Reason: 3"
Information,29/10/2021 11.17.13,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,29/10/2021 08.40.40,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.3.0)
Information,29/10/2021 08.40.19,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.3.0)
Information,29/10/2021 08.40.10,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Warning,29/10/2021 08.05.43,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,29/10/2021 07.40.42,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 07.40.41,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Warning,29/10/2021 07.08.57,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,29/10/2021 06.57.28,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user THINKPAD-X1-WSN\DTETI FT UGM SID (S-1-5-21-1322052218-683203151-4173876033-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,29/10/2021 06.45.08,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Error,29/10/2021 06.45.05,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{F33BDF9B-BEA7-4AD3-9A8C-DD89DDFBAECA} because another computer on the network has the same name.  The server could not start.
Error,29/10/2021 06.45.05,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{95162730-380D-4EDF-AC66-A0DFC4886950} because another computer on the network has the same name.  The server could not start.
Information,29/10/2021 06.45.00,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\svchost.exe (process ID:916) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,29/10/2021 06.45.00,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 9 to 11.

Reason: 3"
Information,29/10/2021 06.45.00,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,29/10/2021 06.45.00,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎10‎-‎28T16:29:41.336388400Z
Wake Time: ‎2021‎-‎10‎-‎28T23:44:59.327863200Z

Wake Source: Unknown"
Information,29/10/2021 06.45.00,googledrivefs3525,1,None,Wake from sleep detected.
Information,29/10/2021 06.44.59,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,29/10/2021 06.44.58,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,29/10/2021 06.44.58,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,29/10/2021 06.44.58,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 8 to 9.

Reason: 3"
Information,29/10/2021 06.44.58,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,29/10/2021 06.44.58,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
